X,Y,osm_id,name,place type,category,text_des
31.4973678,26.7738527,4743134421,طهطا العام,hospital,Health,"تقع طهطا العام في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.3409817,30.0810958,4743822321,مس إيرينى,school,Education,"تقع مس إيرينى في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
29.9406952,31.2123904,4745917821,مركز الصفوة للعيون,hospital,Health,"تقع مركز الصفوة للعيون في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
29.9520648,31.2337129,4745917822,الهيئة العامة للتأمين الصحي,hospital,Health,"تقع الهيئة العامة للتأمين الصحي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
34.887139,25.0612439,4750648997,One Life Hospital,clinic,Health,"تقع One Life Hospital في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
31.2728416,30.7352406,4754465334,مستشفى التكامل بميت محسن,hospital,Health,"تقع مستشفى التكامل بميت محسن في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
29.8822714,31.2086119,4759244922,مدرسة الأنفوشي الثانوية - بنين,school,Education,"تقع مدرسة الأنفوشي الثانوية - بنين في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
29.8815197,31.2083488,4759348722,مستشفى النقراشي,hospital,Health,"تقع مستشفى النقراشي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.3844462,31.0474963,4765039480,"عيادة أ.د. محمد أبوحجازى لطب المخ والأعصاب Prof.Dr. Mohammad Abu-Hegazy, Neurology Consultant",hospital,Health,"تقع عيادة أ.د. محمد أبوحجازى لطب المخ والأعصاب Prof.Dr. Mohammad Abu-Hegazy, Neurology Consultant في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
29.941556,31.2168583,4781406721,مستشفى بدراوى,hospital,Health,"تقع مستشفى بدراوى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.0152798,30.5606982,4787216421,مستشفي موده عيون,hospital,Health,"تقع مستشفي موده عيون في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.2559295,30.1012896,4796819622,مدرسه احمد حلمي,school,Education,"تقع مدرسه احمد حلمي في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
31.0120502,30.0394462,4805841724,M.S.G International British School of Egypt,school,Education,"تقع M.S.G International British School of Egypt في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
